MonitoringRef_ZDE,reflex_lda_id,reflex_lda_nom,reflex_zdl_id,reflex_zdl_nom,reflex_zde_id,reflex_zde_nom,gtfs_stop_id,Lineref,gtfs_line_name,codifligne_line_id,codifligne_line_externalcode,destination_code,codifligne_network_name,gtfs_agency,opendata_date,Dispo,reflex_zde_x,reflex_zde_y,xy,
STIF:StopPoint:Q:22020:,71787,Père Lachaise,44310,Père Lachaise,22020,PÈRE-LACHAISE,StopPoint:59584,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,655021.321,6862720.794,48.8629482012, 2.38691131095
STIF:StopPoint:Q:22021:,71453,Pereire Levallois,44314,Pereire Levallois,22021,PEREIRE,StopPoint:59219,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,648458.3,6865231.5,48.8850345675, 2.29715287465
STIF:StopPoint:Q:22022:,71799,Porte de Bagnolet,44510,Porte de Bagnolet,22022,PORTE DE BAGNOLET,StopPoint:59435,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,656631.552,6862863.165,48.8643389511, 2.40884444472
STIF:StopPoint:Q:22023:,71450,Porte de Champerret,44511,Porte de Champerret,22023,PORTE DE CHAMPERRET,StopPoint:59436,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,648072.264,6865313.662,48.8857424024, 2.29187893813
STIF:StopPoint:Q:22024:,71313,Quatre Septembre,44587,Quatre Septembre,22024,QUATRE SEPTEMBRE,StopPoint:59437,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,651318.066,6863497.47,48.8696634801, 2.33634684502
STIF:StopPoint:Q:22025:,71795,Rue Saint-Maur,45194,Rue Saint-Maur,22025,RUE SAINT-MAUR,StopPoint:59670,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,654582.682,6862851.405,48.8640919925, 2.38091866179
STIF:StopPoint:Q:22026:,71296,Temple,44924,Temple,22026,TEMPLE,StopPoint:59438,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,653167.124,6863160.124,48.8667668918, 2.36159006303
STIF:StopPoint:Q:22027:,71403,Villiers,45056,Villiers,22027,VILLIERS,StopPoint:59430,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,649849.022,6864816.027,48.8814081818, 2.31616552376
STIF:StopPoint:Q:22028:,71423,Wagram,45508,Wagram,22028,WAGRAM,StopPoint:59439,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,649074.697,6865079.378,48.8837156348, 2.30557616378
STIF:StopPoint:Q:22029:,73634,Sentier,44825,Sentier,22029,SENTIER,StopPoint:59440,STIF:Line::C01373:,3,C01373,100110003:3,-,METRO,METRO,2017-01-03,1,652140.357,6863233.714,48.8673532003, 2.34758586426
